LDAP-Display-Name	msDS-IntId	Attribute-ID	
dSHeuristics	0	131284	
dSUIAdminMaximum	0	591168	
dSUIAdminNotification	0	591167	
dSUIShellMaximum	0	591169	
dSASignature	0	131146	
dynamicLDAPServer	0	590361	
mail	0	1376259	
eFSPolicy	0	590092	
employeeID	0	589859	
employeeNumber	0	131682	
employeeType	0	131685	
Enabled	0	131629	
enabledConnection	0	589860	
enrollmentProviders	0	590649	
entryTTL	0	1769475	
extendedAttributeInfo	0	590733	
extendedCharsAllowed	0	131452	
extendedClassInfo	0	590732	
extensionName	0	131299	
extraColumns	0	591511	
facsimileTelephoneNumber	0	23	
fileExtPriority	0	590640	
flags	0	589862	
flatName	0	590335	
forceLogoff	0	589863	
foreignIdentifier	0	590180	
friendlyNames	0	590506	
fromEntry	0	590734	
fromServer	0	589864	
frsComputerReference	0	590693	
frsComputerReferenceBL	0	590694	
fRSControlDataCreation	0	590695	
fRSControlInboundBacklog	0	590696	
fRSControlOutboundBacklog	0	590697	
fRSDirectoryFilter	0	590308	
fRSDSPoll	0	590314	
fRSExtensions	0	590360	
fRSFaultCondition	0	590315	
fRSFileFilter	0	590307	
fRSFlags	0	590698	
fRSLevelLimit	0	590358	
fRSMemberReference	0	590699	
fRSMemberReferenceBL	0	590700	
fRSPartnerAuthLevel	0	590701	
fRSPrimaryMember	0	590702	
fRSReplicaSetGUID	0	590357	
fRSReplicaSetType	0	589855	
fRSRootPath	0	590311	
fRSRootSecurity	0	590359	
fRSServiceCommand	0	590324	
fRSServiceCommandStatus	0	590703	
fRSStagingPath	0	590312	
fRSTimeLastCommand	0	590704	
fRSTimeLastConfigChange	0	590705	
fRSUpdateTimeout	0	590309	
fRSVersion	0	590706	
fRSVersionGUID	0	589867	
fRSWorkingPath	0	590310	
fSMORoleOwner	0	590193	
garbageCollPeriod	0	131373	
generatedConnection	0	589865	
generationQualifier	0	44	
givenName	0	42	
globalAddressList	0	591069	
governsID	0	131094	
gPLink	0	590715	
gPOptions	0	590716	
gPCFileSysPath	0	590718	
gPCFunctionalityVersion	0	590717	
gPCMachineExtensionNames	0	591172	
gPCUserExtensionNames	0	591173	
gPCWQLFilter	0	591518	
groupAttributes	0	589976	
groupMembershipSAM	0	589990	
groupPriority	0	590169	
groupType	0	590574	
groupsToIgnore	0	590168	
hasMasterNCs	0	131086	
hasPartialReplicaNCs	0	131087	
helpData16	0	131474	
helpData32	0	131081	
helpFileName	0	131399	
hideFromAB	0	591604	
homeDirectory	0	589868	
homeDrive	0	589869	
houseIdentifier	0	51	
host	0	1376265	
iconPath	0	590043	
implementedCategories	0	590144	
indexedScopes	0	590505	
initialAuthIncoming	0	590363	
initialAuthOutgoing	0	590364	
initials	0	43	
installUiLevel	0	590671	
instanceType	0	131073	
interSiteTopologyFailover	0	591072	
interSiteTopologyGenerator	0	591070	
interSiteTopologyRenew	0	591071	
internationalISDNNumber	0	25	
invocationId	0	131187	
ipsecData	0	590447	
ipsecDataType	0	590446	
ipsecFilterReference	0	590453	
ipsecID	0	590445	
ipsecISAKMPReference	0	590450	
ipsecName	0	590444	
iPSECNegotiationPolicyAction	0	590712	
ipsecNegotiationPolicyReference	0	590452	
iPSECNegotiationPolicyType	0	590711	
ipsecNFAReference	0	590451	
ipsecOwnersReference	0	590448	
ipsecPolicyReference	0	590341	
isCriticalSystemObject	0	590692	
isDefunct	0	590485	
isDeleted	0	131120	
isEphemeral	0	591036	
memberOf	0	131174	
isMemberOfPartialAttributeSet	0	590463	
isPrivilegeHolder	0	590462	
isRecycled	0	591882	
isSingleValued	0	131105	
jpegPhoto	0	1376316	
keywords	0	589872	
knowledgeInformation	0	2	
labeledURI	0	1900601	
lastBackupRestorationTime	0	590343	
lastContentIndexed	0	589874	
lastKnownParent	0	590605	
lastLogoff	0	589875	
lastLogon	0	589876	
lastLogonTimestamp	0	591520	
lastSetTime	0	589877	
lastUpdateSequence	0	590154	
